n_env,sigma1_u,sigma1_u_se,sigma1_c,sigma1_c_se,sigma5_u,sigma5_u_se,sigma5_c,sigma5_c_se,sigma10_u,sigma10_u_se,sigma10_c,sigma10_c_se
100,0.970,0.001,0.970,0.001,0.959,0.001,0.963,0.001,0.925,0.001,0.952,0.001
90,0.968,0.001,0.968,0.001,0.958,0.001,0.962,0.001,0.920,0.001,0.950,0.001
80,0.968,0.001,0.968,0.001,0.957,0.001,0.962,0.001,0.924,0.001,0.950,0.001
70,0.967,0.001,0.967,0.001,0.956,0.001,0.960,0.001,0.921,0.001,0.948,0.001
60,0.966,0.001,0.967,0.001,0.956,0.001,0.959,0.001,0.917,0.001,0.945,0.001
50,0.964,0.001,0.964,0.001,0.954,0.001,0.958,0.001,0.915,0.002,0.942,0.001
40,0.963,0.001,0.963,0.001,0.951,0.001,0.955,0.001,0.908,0.002,0.937,0.001
30,0.960,0.001,0.960,0.001,0.947,0.001,0.950,0.001,0.900,0.002,0.927,0.002
20,0.955,0.001,0.955,0.001,0.939,0.001,0.942,0.001,0.892,0.002,0.916,0.002
15,0.949,0.001,0.949,0.001,0.932,0.001,0.935,0.001,0.879,0.002,0.901,0.002
10,0.937,0.001,0.937,0.001,0.918,0.002,0.923,0.001,0.864,0.002,0.884,0.002
5,0.905,0.001,0.905,0.001,0.887,0.002,0.892,0.002,0.831,0.003,0.845,0.003
